File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Err. [m/s],CCF RV [m/s],CCF RV Err. [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated,Phot. GP [mag],Phot. GP Err. [mag]
101501_190210.1141.fits,58524.46592,4,251,1.087,0.322,-5555.242,0.239,0.282,0.231,1.931,7586.085,34.884,-71.783,-71.071,2.161,0.002,2020-12-22T03:50:08.414,0.000000,0.003646
101501_190210.1153.fits,58524.49142,4,264,3.808,0.325,-5554.883,0.229,0.282,0.232,1.934,7586.723,34.783,-70.609,-70.415,2.15,-0.006,2020-12-22T03:50:20.163,0.000000,0.003646
101501_190210.1154.fits,58524.49704,4,262,4.08,0.308,-5555.116,0.232,0.282,0.235,1.927,7586.379,34.798,-70.699,-70.905,2.162,0.001,2020-12-22T03:50:26.591,0.000000,0.003646
101501_190210.1155.fits,58524.50315,4,263,2.033,0.316,-5556.247,0.229,0.282,0.232,1.935,7583.985,34.777,-70.264,-69.871,2.107,-0.003,2020-12-22T03:50:32.753,0.000000,0.003646
101501_190317.1083.fits,58559.25924,4,205,8.553,0.358,-5552.289,0.304,0.287,0.23,1.933,7641.109,35.441,-78.385,-76.138,2.831,-0.987,2020-12-22T03:50:38.989,-0.000033,0.003645
101501_190317.1084.fits,58559.26367,4,207,7.734,0.372,-5552.016,0.302,0.287,0.238,1.939,7643.477,35.553,-76.574,-56.39,2.705,0.001,2020-12-22T03:50:44.883,-0.000033,0.003645
101501_190317.1085.fits,58559.26801,4,199,7.037,0.345,-5552.184,0.314,0.287,0.234,1.939,7642.646,35.587,-77.171,-56.235,2.74,-0.984,2020-12-22T03:50:50.824,-0.000032,0.003645
101501_190427.1068.fits,58600.31097,4,257,-5.133,0.352,-5563.241,0.233,0.304,0.239,1.931,7609.759,34.777,-36.835,-44.001,1.151,0.448,2020-12-22T03:50:56.540,0.004030,0.000581
101501_190503.1087.fits,58606.31119,4,316,3.324,0.296,-5553.443,0.192,0.286,0.225,1.967,7571.139,34.515,-72.674,-71.637,2.875,-0.969,2020-12-22T03:51:02.388,-0.004259,0.000857
101501_190505.1069.fits,58608.31189,4,318,3.502,0.298,-5553.352,0.189,0.293,0.227,1.96,7577.42,34.406,-69.364,-69,2.75,-0.002,2020-12-22T03:51:08.610,-0.003473,0.000678
101501_190506.1076.fits,58609.34108,4,222,4.775,0.354,-5553.613,0.274,0.286,0.231,1.955,7583.168,34.66,-65.552,-67.435,2.625,0.002,2020-12-22T03:51:14.278,-0.003117,0.001094
101501_190513.1121.fits,58616.24989,4,284,-2.327,0.328,-5560.471,0.214,0.293,0.235,1.958,7602.553,34.614,-39.736,-46.603,1.397,0.001,2020-12-22T03:51:20.097,0.004330,0.001634
101501_190518.1122.fits,58621.26392,4,278,3.4,0.308,-5553.116,0.218,0.274,0.229,1.952,7560.024,34.556,-69,-69.206,2.849,0,2020-12-22T03:51:26.138,-0.002002,0.000886
101501_190531.1107.fits,58634.17283,4,281,5.342,0.299,-5552.855,0.213,0.305,0.233,1.952,7585.292,34.408,-50.415,-53.564,1.938,-0.915,2020-12-22T03:51:31.893,-0.002094,0.001357
101501_190607.1069.fits,58641.15904,4,208,6.007,0.387,-5552.652,0.307,,0.232,1.963,7623.462,35.316,-62.085,-63.817,2.437,0.002,2020-12-22T03:51:37.812,0.000976,0.001201
101501_190607.1070.fits,58641.16462,4,265,5.441,0.361,-5553.677,0.241,,0.234,1.961,7619.085,35.045,-60.947,-62.53,2.361,-0.942,2020-12-22T03:51:43.999,0.000970,0.001204
101501_190608.1082.fits,58642.18561,4,246,3.605,0.32,-5554.649,0.238,,0.23,1.963,7616.252,35.164,-55.627,-59.07,2.06,-0.928,2020-12-22T03:51:49.752,-0.000047,0.001731
101501_190612.1068.fits,58646.17808,4,189,5.735,0.402,-5552.962,0.334,,0.232,1.967,7625.354,35.261,-62.928,-64.195,2.52,-0.949,2020-12-22T03:51:56.099,-0.000290,0.001641
101501_191107.1170.fits,58794.53841,5,247,-6.103,0.351,-5565.27,0.245,0.264,0.224,1.976,7570.813,35.054,-47.624,-53.203,0.986,0,2020-12-22T03:52:01.690,0.000073,0.003640
101501_191107.1171.fits,58794.54152,5,201,-5.771,0.387,-5564.86,0.304,0.264,0.227,1.981,7572.13,35.173,-48.59,-53.952,1.018,0.001,2020-12-22T03:52:07.649,0.000074,0.003640
101501_191109.1267.fits,58796.53679,5,215,-4.026,0.354,-5562.774,0.284,0.249,0.223,1.938,7554.502,34.964,-67.855,-67.544,1.905,-0.006,2020-12-22T03:52:13.497,0.000272,0.003632
101501_191109.1268.fits,58796.53997,5,214,-5.431,0.358,-5563.417,0.284,0.249,0.22,1.948,7551.216,34.918,-66.144,-67.224,1.824,0,2020-12-22T03:52:19.099,0.000273,0.003631
101501_191212.1139.fits,58829.48984,5,215,-7.944,0.337,-5566.653,0.281,0.257,0.228,1.963,7576.6,35.368,-50.444,-54.701,1.028,0.005,2020-12-22T03:52:24.949,0.000226,0.003573
101501_191212.1140.fits,58829.49255,5,214,-6.55,0.365,-5566.367,0.281,0.257,0.225,1.965,7578.11,35.386,-52.337,-55.151,1.081,0.003,2020-12-22T03:52:30.351,0.000225,0.003573
101501_191212.1141.fits,58829.49625,5,214,-9.328,0.368,-5565.907,0.281,0.257,0.224,1.951,7575.598,35.355,-51.833,-55.432,1.084,-0.005,2020-12-22T03:52:36.685,0.000223,0.003573
101501_191212.1142.fits,58829.50041,5,213,-8.08,0.383,-5565.868,0.281,0.257,0.224,1.973,7577.279,35.425,-50.605,-54.452,1.037,0,2020-12-22T03:52:42.241,0.000221,0.003573
101501_200228.1094.fits,58907.41816,5,209,4.238,0.356,-5554.77,0.294,0.254,0.23,1.933,7593.016,34.837,-73.67,-73.545,2.515,0.003,2020-12-22T03:52:47.689,0.002381,0.001353
101501_200228.1095.fits,58907.42249,5,210,4.392,0.332,-5554.073,0.293,0.254,0.227,1.932,7591.794,34.826,-74.664,-74.192,2.636,-0.975,2020-12-22T03:52:53.271,0.002386,0.001355
101501_200624.1066.fits,59024.16029,5,213,-5.726,0.354,-5562.724,0.28,0.272,0.223,1.978,7589.196,34.665,-53.223,-58.255,2.088,-0.922,2020-12-22T03:52:59.073,0.005309,0.002116
101501_200624.1067.fits,59024.16869,5,211,-5.318,0.354,-5563.15,0.281,0.272,0.229,1.97,7586.636,34.659,-52.43,-57.257,2.014,-0.92,2020-12-22T03:53:04.936,0.005293,0.002122
101501_200624.1068.fits,59024.17705,5,213,-6.995,0.358,-5563.079,0.282,0.272,0.229,1.982,7590.674,34.669,-53.826,-58.356,2.077,-0.924,2020-12-22T03:53:10.541,0.005277,0.002128
101501_200628.1090.fits,59028.15739,5,218,3.125,0.347,-5553.93,0.284,0.26,0.223,1.981,7569.176,34.465,-68.17,-67.478,2.747,-0.957,2020-12-22T03:53:15.995,-0.000904,0.002952
101501_200628.1091.fits,59028.16029,5,218,1.425,0.38,-5554.759,0.285,0.26,0.226,1.993,7569.39,34.52,-67.019,-67.796,2.687,0,2020-12-22T03:53:21.702,-0.000906,0.002952
101501_200628.1092.fits,59028.16352,5,216,2.226,0.368,-5554.784,0.285,0.26,0.225,1.993,7569.062,34.451,-67.128,-67.45,2.751,-0.956,2020-12-22T03:53:27.590,-0.000908,0.002952
101501_200630.1093.fits,59030.19018,5,164,-0.965,0.463,-5558.808,0.387,0.267,0.226,2.01,7566.667,34.698,-64.132,-65.179,2.606,-0.008,2020-12-22T03:53:33.496,-0.000776,0.002978
101501_200630.1094.fits,59030.20259,5,220,-1.568,0.345,-5557.779,0.283,0.267,0.223,2.006,7559.667,34.475,-63.522,-64.569,2.615,0,2020-12-22T03:53:39.395,-0.000769,0.002978
101501_200630.1096.fits,59030.21423,5,219,-1.768,0.391,-5557.804,0.284,0.267,0.223,2.014,7562.807,34.504,-63.549,-64.628,2.601,-0.95,2020-12-22T03:53:44.670,-0.000763,0.002978
101501_200701.1071.fits,59031.16038,5,236,-1.681,0.321,-5558.315,0.288,,0.227,1.981,7554.771,34.55,-71.133,-70.382,3.079,-0.971,2020-12-22T03:53:50.486,-0.000446,0.002982
101501_200701.1072.fits,59031.16482,5,232,0,0.334,-5557.91,0.297,,0.227,1.978,7550.563,34.531,-71.059,-70.222,3.1,0.002,2020-12-22T03:53:55.593,-0.000445,0.002983
